Ticker,ISIN Code,Company Name,min_date,max_date,figi,cik,has_file,has_data
WANG,US9336961068,Wang Laboratories Inc,1980-09-30,1992-06-30,,,0.0,0.0
WB (Old),US9297711031,Wachovia Corp (Old),1993-12-31,2001-06-30,BBG002GPXMP0,104019.0,1.0,0.0
WCOM,US98157D1063,WorldCom Inc,1996-06-30,2002-03-31,BBG002GQWHJ7,723527.0,1.0,0.0
WETT,US9618961075,Wetterau Inc,1989-06-30,1992-09-30,,,0.0,0.0
WFC (Old),US9497401045,Wells Fargo & Co. (Old),1987-06-30,1998-09-30,,,0.0,0.0
WIN (W-D),US9742801098,Winn-Dixie Stores Inc (Old),1970-03-31,2004-09-30,,,0.0,0.0
WLA,US9344881076,Warner Lambert Pharmaceutical Co,1970-03-31,2000-03-31,BBG002GPXRM2,,1.0,0.0
WLP,US94973H1086,Wellpoint Health Networks Inc,1999-06-30,2004-09-30,BBG002GWG795,,1.0,0.0
WMX,US94106K1016,Waste Management Inc. (Old),1981-09-30,1998-06-30,,,0.0,0.0
X (Old),90337T10,USX Corporation,1970-03-31,1991-03-31,,,0.0,0.0
YNR,US9874251054,Young & Rubicam Inc,2000-03-31,2000-09-30,,,0.0,0.0
ZE,US9893491053,Zenith Electronics Corp,1970-03-31,1995-09-30,,,0.0,0.0
ZRN,US9898241073,Zurn Industries Inc,1982-03-31,1995-09-30,,,0.0,0.0
